 xacc   yacc    zacc   xgyr   ygyr  zgyr
001300 000092 -16832 -00008 -00045 000109
001320 000168 -16764 -00255 -00013 000092
001360 000136 -16924 -00007 -00044 000108
001392 000076 -16952 -00268 -00021 000092
001280 000208 -16992 -00252 -00031 000104
001292 000096 -17100 -00278 -00048 000117
001224 000244 -17108 -00256 -00038 000101
001360 000148 -17024 -00511 -00021 000107
001476 000180 -16716 -00276 -00028 000104
001280 000196 -16912 -00251 -00032 000092
001400 000180 -17072 -00258 -00027 000101
001328 000140 -16960 -00254 -00048 000108
001416 000208 -17148 -00265 -00020 000127
001316 000144 -16916 -00511 -00013 000098
001364 000112 -16948 -00279 -00026 000071
001420 000176 -17108 -00511 -00032 000110
001304 000172 -16944 -00243 -00023 000107
001364 000144 -16784 -00249 -00050 000111
001380 000064 -16804 -00270 -00033 000100
001436 000164 -17128 -00277 -00037 000077
001320 000180 -16996 -00238 -00013 000119
001372 000096 -16840 -00256 -00254 000100
001344 000172 -16972 -00258 -00030 000085
001364 000104 -16908 -00259 -00040 000114
001352 000116 -16960 -00507 -00020 000125
001264 000084 -16944 -00511 -00042 000112
001296 000184 -16752 -00275 -00012 000083
001288 000244 -17104 -00512 -00024 000118
001476 000184 -16908 -00253 -00038 000109
001340 000172 -16944 -00252 -00019 000087
001384 000160 -16852 -00264 -00045 000085
001380 000168 -16756 -00272 -00038 000088
001308 000236 -17020 -00257 -00035 000106
001372 000144 -16888 -00002 -00011 000118
001240 000208 -16844 -00250 -00043 000086
001216 000208 -17020 -00257 -00014 000117
001268 000188 -16876 -00238 -00014 000106
001528 000084 -16860 -00271 -00034 000093
001344 000172 -16976 -00263 -00018 000100
001412 000196 -16776 -00237 -00032 000090
001276 000128 -16936 -00255 -00018 000097
001352 000096 -16884 -00260 -00028 000106
001312 000092 -16852 -00267 -00025 000102
001520 000140 -16980 -00006 -00019 000113
001348 000152 -16864 -00268 -00018 000125
001336 000100 -16908 -00248 -00015 000112
001360 000220 -17004 -00253 -00014 000074
001064 000144 -16756 -00257 -00031 000087
001512 000164 -17008 -00243 -00050 000115
001260 000208 -16912 -00263 -00025 000099
001304 000176 -17108 -00256 -00043 000090
001340 000140 -16848 -00250 -00042 000123
001304 000148 -16720 -00245 -00031 000085
001352 000140 -16932 -00265 -00026 000091
001300 000240 -16952 -00511 -00030 000086
001428 000108 -16828 -00242 -00006 000100
001364 000248 -16904 -00255 -00027 000091
001304 000108 -17012 -00255 000008 000103
001448 000160 -16944 -00249 -00039 000116
001400 000184 -16916 -00261 -00047 000090
001472 000060 -16960 -00258 -00021 000104
001252 000080 -17132 -00281 -00031 000104
001364 000132 -16996 -00242 -00020 000099
001352 000184 -17116 -00002 -00002 000116
001372 000156 -17012 -00232 -00019 000106
001380 000196 -16900 -00001 -00012 000107
001416 000100 -16964 -00250 -00018 000088
001452 000140 -16944 -00512 -00031 000109
001364 000224 -16832 -00262 -00038 000094
001328 000212 -16932 -00263 -00036 000094
001100 000060 -16780 -00274 -00021 000126
001300 000124 -17136 -00003 -00002 000095
001260 000184 -16976 -00245 -00050 000093
001340 000128 -16988 -00266 -00048 000110
001368 000148 -17044 -00245 -00020 000108
001284 000196 -17112 -00250 -00032 000132
001384 000212 -17080 -00005 -00034 000092
001360 000196 -16932 -00265 -00031 000119
001516 000080 -16820 -00262 -00041 000100
001324 000124 -16924 -00238 000254 000082
001300 000184 -16936 -00274 -00045 000097
001348 000180 -16880 -00268 -00047 000120
001284 000112 -16820 -00510 -00031 000100
001444 000068 -17076 -00262 -00023 000082
001320 000168 -16944 -00265 -00038 000111
001356 000044 -16860 -00252 -00020 000093
001296 000136 -17100 -00512 -00035 000119
001320 000072 -16856 -00275 -00027 000116
001304 000180 -16948 -00264 -00028 000064
001488 000128 -16948 -00283 -00026 000097
001288 000148 -16844 -00252 -00026 000124
001384 000112 -16812 -00266 -00021 000071
001420 000372 -16980 -00262 -00021 000111
001340 000144 -16756 -00256 -00026 000112
001376 000200 -17000 -00258 -00028 000125
